Amenity Type,latitude,longitude,label
bar,28.6332767,77.2238762,0
bar,28.6415015,77.2160786,0
bar,28.6314049,77.2204463,0
bar,28.6384132,77.2104056,0
bar,28.6411301,77.212683,0
bar,28.6339043,77.2208954,0
bar,28.5998657,77.2261108,0
bar,28.6307208,77.2210523,0
bar,28.5999612,77.2262647,0
bar,28.6306047,77.2198405,0
bar,28.6314083,77.220584,0
bar,28.6296803,77.2220055,0
bar,28.5844433,77.2266538,0
bar,28.5748429,77.2380497,0
bar,28.6311254,77.2209039,0
bar,28.6310486,77.2207857,0
bar,28.6301159,77.2197367,0
bar,28.6318318,77.2168187,0
bar,28.6301911,77.2197452,0
bar,28.5999324,77.226627,0
bar,28.6329337,77.2226935,0
bar,28.6345412,77.2213209,0
bar,28.6334057,77.222623,0
bar,28.6291592,77.2197557,0
bar,28.5886555,77.1691254,0
bar,28.6344996,77.2175963,0
bar,28.6467989,77.1893561,0
cafe,28.6428339,77.186576,1
cafe,28.6410051,77.2125387,1
cafe,28.6407272,77.2111472,1
cafe,28.6321974,77.2177075,1
cafe,28.6002007,77.2273465,1
cafe,28.5681853,77.2192919,1
cafe,28.6318506,77.2163093,1
cafe,28.6626659,77.2339069,1
cafe,28.6016349,77.1859966,1
cafe,28.6302915,77.2204826,1
cafe,28.6409134,77.2104527,1
cafe,28.6409875,77.2128901,1
cafe,28.6269741,77.2202933,1
cafe,28.5997702,77.2261911,1
cafe,28.5798966,77.2220134,1
cafe,28.6417215,77.2147806,1
cafe,28.6314625,77.2206262,1
cafe,28.645479,77.2163699,1
cafe,28.6504719,77.2303091,1
cafe,28.5849603,77.2266279,1
cafe,28.6334848,77.2181289,1
cafe,28.6131498,77.2426321,1
cafe,28.6491519,77.232748,1
cafe,28.6315876,77.2222789,1
cafe,28.5744593,77.2291993,1
cafe,28.6343655,77.2179596,1
cafe,28.64467,77.2402214,1
cafe,28.6339716,77.2180188,1
cafe,28.650606,77.2295833,1
cafe,28.6303838,77.2207212,1
cafe,28.5784821,77.2383126,1
cafe,28.6343528,77.2220221,1
cafe,28.6299698,77.2229648,1
cafe,28.6330613,77.2198505,1
cafe,28.6383221,77.1805949,1
cafe,28.6309899,77.2218384,1
cafe,28.6343112,77.2194624,1
cafe,28.6336036,77.2178165,1
cafe,28.6343601,77.2182711,1
cafe,28.6405754,77.2117485,1
cafe,28.587778,77.1675315,1
cafe,28.6514487,77.1591527,1
cafe,28.6288925,77.2186728,1
cafe,28.6342664,77.2180918,1
cafe,28.6090339,77.2296678,1
cafe,28.5671729,77.213153,1
cafe,28.6357531,77.2205669,1
cafe,28.6296999,77.1797945,1
cafe,28.600863,77.2270634,1
cafe,28.6267988,77.2197099,1
cafe,28.6301326,77.2199077,1
cafe,28.6339819,77.2185238,1
cafe,28.5903723,77.2524954,1
cafe,28.5998699,77.2263436,1
cafe,28.6002371,77.2274371,1
cafe,28.6331479,77.2196843,1
cafe,28.5997174,77.2261777,1
cafe,28.5997717,77.2261395,1
cafe,28.633884,77.2184716,1
cafe,28.6452103,77.1954815,1
cafe,28.6534474,77.2399354,1
cafe,28.632997,77.2190193,1
cafe,28.6310504,77.2219404,1
cafe,28.645817,77.2154412,1
cafe,28.6347571,77.2184665,1
cafe,28.5908601,77.2563801,1
cafe,28.6328859,77.2227714,1
cafe,28.6482157,77.2001362,1
cafe,28.588688,77.1691745,1
cafe,28.588414,77.1686436,1
cafe,28.5886031,77.1689683,1
cafe,28.5885827,77.1690539,1
cafe,28.5884966,77.1688106,1
cafe,28.5881876,77.1682611,1
cafe,28.5879768,77.1688142,1
cafe,28.5878444,77.1675983,1
cafe,28.5878311,77.1675464,1
cafe,28.5877303,77.1672874,1
cafe,28.588064,77.1679012,1
cafe,28.5880537,77.1679015,1
cafe,28.5876277,77.1686816,1
cafe,28.5877898,77.1684033,1
cafe,28.5880515,77.1682334,1
cafe,28.5880081,77.1677761,1
cafe,28.5879971,77.1677583,1
cafe,28.5882442,77.168369,1
cafe,28.5875478,77.1686825,1
cafe,28.5875721,77.1685498,1
cafe,28.6333646,77.2226483,1
cafe,28.5875537,77.1686987,1
cafe,28.5870102,77.1704721,1
cafe,28.5931893,77.1645815,1
cafe,28.6440611,77.2014836,1
cafe,28.6610786,77.2273116,1
cafe,28.6188178,77.178503,1
fast_food,28.6457998,77.1722681,2
fast_food,28.6438105,77.1910019,2
fast_food,28.6388435,77.1838163,2
fast_food,28.6424922,77.1762685,2
fast_food,28.6562865,77.2341095,2
fast_food,28.6563937,77.2316218,2
fast_food,28.6350182,77.219418,2
fast_food,28.6561924,77.2306625,2
fast_food,28.6331146,77.2179776,2
fast_food,28.5883459,77.2536911,2
fast_food,28.656457,77.2300677,2
fast_food,28.657401,77.2231422,2
fast_food,28.6405917,77.2108939,2
fast_food,28.6301576,77.2197258,2
fast_food,28.6336816,77.2210924,2
fast_food,28.5853563,77.1915395,2
fast_food,28.5839783,77.1915598,2
fast_food,28.6467705,77.2129317,2
fast_food,28.6322738,77.2162739,2
fast_food,28.5696026,77.1938516,2
fast_food,28.5683377,77.1889265,2
fast_food,28.630206,77.2200866,2
fast_food,28.6320509,77.2163058,2
fast_food,28.6560137,77.2334875,2
fast_food,28.5679494,77.24126,2
fast_food,28.6297305,77.2201372,2
fast_food,28.6317854,77.2159495,2
fast_food,28.6270891,77.2197178,2
fast_food,28.63412,77.2222423,2
fast_food,28.6321991,77.2163026,2
fast_food,28.5702091,77.2375367,2
